ID,LastName,FirstName,Pos,CapHit
8479944,Aston-Reese,Zach,C,775000.0
8480043,Liljegren,Timothy,D,3000000.0
8474102,Perron,David,L,4000000.0
8474567,Bogosian,Zach,D,1250000.0
8475462,Gudas,Radko,D,4000000.0
8475455,Dillon,Brenden,D,4000000.0
8477450,Dickinson,Jason,C,4250000.0
8477573,Walker,Nathan,L,775000.0
8479591,Eyssimont,Michael,C,1450000.0
8480001,Vaakanainen,Urho,D,1550000.0
8477365,Clifton,Connor,D,3333333.0
8480336,Walker,Sean,D,3600000.0
8481704,Parssinen,Juuso,C,1250000.0
8483565,Blankenburg,Nick,D,775000.0
8479982,Timmins,Conor,D,2200000.0
8480289,Barron,Morgan,C,1850000.0
8480806,Lundestrom,Isac,C,1300000.0
8478115,Engvall,Pierre,L,3000000.0
8481178,Zamula,Yegor,D,
8482475,Chinakhov,Yegor,R,2100000.0
8482742,L'Heureux,Zachary,L,
8484258,Malinski,Sam,D,1400000.0
8480459,Suter,Ryan,C,0.0
8476393,Cousins,Nick,C,825000.0
8476312,Manson,Josh,D,4500000.0
8476525,Miller,Colin,D,1500000.0
8476889,Faksa,Radek,C,2000000.0
8478508,Trenin,Yakov,C,3500000.0
8478840,Borgen,William,D,
8479365,Frederic,Trent,C,3850000.0
8476885,Trouba,Jacob,D,8000000.0
8477446,McCarron,Michael,R,900000.0
8477953,Kapanen,Kasperi,R,1300000.0
8478057,Joshua,Dakota,C,3250000.0
8478472,Joseph,Mathieu,R,2950000.0
8478507,Marino,John,D,4400000.0
8479378,Stanley,Logan,D,1250000.0
8480950,Lyubushkin,Ilya,D,3250000.0
8480871,Boqvist,Adam,D,850000.0
8480807,Samuelsson,Mattias,D,4285714.0
8480798,Kurashev,Philipp,C,1200000.0
8481477,Sturm,Nico,C,2000000.0
8480355,Kastelic,Mark,C,1566667.0
8482655,Moser,Janis Jérôme,D,
8483447,Geekie,Conor,C,886667.0
8480727,Whitecloud,Zach,D,2750000.0
8480834,Emberson,Ty,D,1300000.0
8479661,Jeannot,Tanner,L,3400000.0
8481593,Struble,Jayden,D,1412500.0
8481563,Helleson,Drew,D,1100000.0
8482245,Zub,Artyom,D,
8482111,Barron,Justin,D,1150000.0
8481789,Kartye,Tye,L,1250000.0
8475179,Kulikov,Dmitry,D,1150000.0
8475279,Chiarot,Ben,D,4750000.0
8477369,Soucy,Carson,D,3250000.0
8479066,Lomberg,Ryan,L,2000000.0
8480144,Kampf,David,C,2400000.0
8478443,Carlo,Brandon,D,3485000.0
8478569,Acciari,Noel,C,2000000.0
8479980,Hague,Nicolas,D,5500000.0
8480990,Chisholm,Declan,D,1600000.0
8481167,Pachal,Brayden,D,1187500.0
8481567,Thrun,Henry,D,1000000.0
8482062,Smith,Cole,L,1000000.0
8482118,Colangelo,Sam,R,850000.0
